+-----------+--------------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+-----+
| nameFirst | nameLast     | playerID  | G    | AB   | R    | H    | 2B   | 3B   | HR   | RBI  | SB   | CS   | BB   | SO   | IBB  | HBP  | SH   | SF   | GIDP | PA  |
| Alek      | Manoah       | manoaal01 |   31 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Tim       | Mayza        | mayzati01 |   63 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Whit      | Merrifield   | merriwh01 |   44 |  121 |   19 |   34 |    5 |    0 |    5 |   16 |    1 |    2 |    8 |   24 |    0 |    0 |    0 |    1 |    3 | 130 |
| Julian    | Merryweather | merryju01 |   26 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Gabriel   | Moreno       | morenga01 |   25 |   69 |   10 |   22 |    1 |    0 |    1 |    7 |    0 |    0 |    4 |    8 |    0 |    0 |    0 |    0 |    2 |  73 |
| David     | Phelps       | phelpda01 |   65 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Zach      | Pop          | popza01   |   18 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Trevor    | Richards     | richatr01 |   62 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Jordan    | Romano       | romanjo03 |   63 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Sergio    | Romo         | romose01  |    6 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Hyun Jin  | Ryu          | ryuhy01   |    6 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Tayler    | Saucedo      | sauceta01 |    4 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| George    | Springer     | springe01 |  133 |  513 |   89 |  137 |   22 |    4 |   25 |   76 |   14 |    2 |   54 |  100 |    1 |    7 |    0 |    5 |    7 | 579 |
| Ross      | Stripling    | stripro01 |   32 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Raimel    | Tapia        | tapiara01 |  128 |  411 |   47 |  109 |   20 |    3 |    7 |   52 |    8 |    2 |   16 |   81 |    0 |    0 |    3 |    1 |   12 | 431 |
| Trent     | Thornton     | thorntr01 |   32 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Andrew    | Vasquez      | vasquan02 |    9 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Mitch     | White        | whitemi03 |   10 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Bradley   | Zimmer       | zimmebr01 |   77 |   76 |   11 |    8 |    4 |    0 |    2 |    3 |    2 |    1 |    5 |   33 |    0 |    5 |    1 |    0 |    0 |  87 |
| Bradley   | Zimmer       | zimmebr01 |   23 |   13 |    3 |    1 |    0 |    0 |    0 |    2 |    1 |    1 |    0 |    8 |    0 |    1 |    0 |    0 |    0 |  14 |
+-----------+--------------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+-----+
