playerID,yearID,gameNumber,teamID,leagueID,playedInGame,startingPosition
wilheho01,1959,1,BAL,AL,0,
wilheho01,1959,2,BAL,AL,1,
willite01,1959,1,BOS,AL,1,
woodlge01,1959,2,BAL,AL,1,
wynnea01,1959,2,CHA,AL,1,
drysddo01,1959,1,LAN,NL,1,1.0
drysddo01,1959,2,LAN,NL,1,1.0
crandde01,1959,1,MLN,NL,1,2.0
crandde01,1959,2,MLN,NL,1,2.0
cepedor01,1959,1,SFN,NL,1,3.0
musiast01,1959,2,SLN,NL,1,3.0
templjo01,1959,1,CIN,NL,1,4.0
templjo01,1959,2,CIN,NL,1,4.0
boyerke01,1959,2,SLN,NL,1,5.0
matheed01,1959,1,MLN,NL,1,5.0
bankser01,1959,1,CHN,NL,1,6.0
bankser01,1959,2,CHN,NL,1,6.0
moonwa01,1959,1,LAN,NL,1,7.0
moonwa01,1959,2,LAN,NL,1,7.0
mayswi01,1959,1,SFN,NL,1,8.0
mayswi01,1959,2,SFN,NL,1,8.0
aaronha01,1959,1,MLN,NL,1,9.0
aaronha01,1959,2,MLN,NL,1,9.0
antonjo02,1959,2,SFN,NL,0,
antonjo02,1959,1,SFN,NL,1,
boyerke01,1959,1,SLN,NL,1,
burdele01,1959,2,MLN,NL,0,
burdele01,1959,1,MLN,NL,1,
burgesm01,1959,1,PIT,NL,0,
burgesm01,1959,2,PIT,NL,1,
cepedor01,1959,2,SFN,NL,0,
conlege01,1959,1,PHI,NL,0,
conlege01,1959,2,PHI,NL,1,
cunnijo01,1959,1,SLN,NL,0,
cunnijo01,1959,2,SLN,NL,1,
elstodo01,1959,2,CHN,NL,0,
elstodo01,1959,1,CHN,NL,1,
facero01,1959,1,PIT,NL,1,
facero01,1959,2,PIT,NL,1,
gilliji01,1959,2,LAN,NL,1,
groatdi01,1959,1,PIT,NL,1,
groatdi01,1959,2,PIT,NL,1,
jonessa02,1959,2,SFN,NL,1,
loganjo01,1959,2,MLN,NL,0,
matheed01,1959,2,MLN,NL,1,
mazerbi01,1959,2,PIT,NL,0,
mazerbi01,1959,1,PIT,NL,1,
mizelvi01,1959,1,SLN,NL,0,
mizelvi01,1959,2,SLN,NL,0,
musiast01,1959,1,SLN,NL,1,
nealch01,1959,2,LAN,NL,1,
pinsova01,1959,1,CIN,NL,0,
pinsova01,1959,2,CIN,NL,1,
robinfr02,1959,1,CIN,NL,0,
robinfr02,1959,2,CIN,NL,1,
smithha09,1959,1,SLN,NL,0,
smithha09,1959,2,SLN,NL,1,
spahnwa01,1959,1,MLN,NL,0,
spahnwa01,1959,2,MLN,NL,0,
