playerID,yearID,round,teamID,leagueID,W,L,G,GS,CG,SHO,SV,outsRecorded,H,ER,HR,BB,SO,BAOpponents,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
kershcl01,2022,NLDS2,LAN,NL,0,0,1,1,0,0,0,15,6,3,1,0,6,0.286,5.4,0.0,1.0,0.0,0.0,21.0,0,3,0.0,0.0,0.0
kershcl01,2023,NLDS2,LAN,NL,0,1,1,1,0,0,0,1,6,6,1,1,0,0.857,162.0,0.0,0.0,0.0,0.0,8.0,0,6,0.0,0.0,0.0
kikucyu01,2023,ALWC2,TOR,AL,0,0,1,0,0,0,0,5,3,1,0,1,0,0.429,5.4,0.0,0.0,0.0,0.0,8.0,0,1,0.0,0.0,1.0
