playerID,awardID,yearID,leagueID,didTie,note
bettsmo01,TSN All-Star,2023,NL,,OF
bettsmo01,TSN All-Star,2022,NL,,OF
bettsmo01,Silver Slugger,2023,NL,,OF
bettsmo01,Silver Slugger,2022,NL,,OF
guerrvl02,Gold Glove,2022,AL,,1B
bettsmo01,Gold Glove,2022,NL,,OF
